Orden,Insert,Time,G_size,Height,M_ratio,Radius_Ext
1,E,0,A,60,66,10.280
2,E,0,A,90,66,10.280
3,E,0,A,120,66,10.280
4,B,0,B,60,66,12.865
5,B,0,B,90,66,12.865
6,B,0,B,120,66,12.865
7,H,0,AB,60,66,7.372
8,H,0,AB,90,66,7.372
9,H,0,AB,120,66,7.372
10,E,20,A,60,66,14.702
11,E,20,A,90,66,17.921
12,E,20,A,120,66,21.050
13,B,20,B,60,66,29.085
14,B,20,B,90,66,41.472
15,B,20,B,120,66,41.471
16,H,20,AB,60,66,18.222
17,H,20,AB,90,66,28.507
18,H,20,AB,120,66,31.779
19,E,30,A,60,66,13.926
20,E,30,A,90,66,18.512
21,E,30,A,120,66,20.430
22,B,30,B,60,66,31.386
23,B,30,B,90,66,46.780
24,B,30,B,120,66,48.928
25,H,30,AB,60,66,23.785
26,H,30,AB,90,66,35.381
27,H,30,AB,120,66,39.946
28,E,40,A,60,66,13.724
29,E,40,A,90,66,23.453
30,E,40,A,120,66,26.712
31,B,40,B,60,66,36.292
32,B,40,B,90,66,44.917
33,B,40,B,120,66,57.818
34,H,40,AB,60,66,22.198
35,H,40,AB,90,66,38.745
36,H,40,AB,120,66,40.642
37,E,0,A,60,66,9.916
38,E,0,A,90,66,9.916
39,E,0,A,120,66,9.916
40,B,0,B,60,66,6.171
41,B,0,B,90,66,6.171
42,B,0,B,120,66,6.171
43,H,0,AB,60,66,12.519
44,H,0,AB,90,66,12.519
45,H,0,AB,120,66,12.519
46,E,20,A,60,66,13.073
47,E,20,A,90,66,18.339
48,E,20,A,120,66,19.953
49,B,20,B,60,66,29.283
50,B,20,B,90,66,38.717
51,B,20,B,120,66,44.650
52,H,20,AB,60,66,17.774
53,H,20,AB,90,66,28.877
54,H,20,AB,120,66,33.975
55,E,30,A,60,66,12.501
56,E,30,A,90,66,20.271
57,E,30,A,120,66,25.258
58,B,30,B,60,66,30.421
59,B,30,B,90,66,45.150
60,B,30,B,120,66,58.386
61,H,30,AB,60,66,21.064
62,H,30,AB,90,66,34.424
63,H,30,AB,120,66,38.578
64,E,40,A,60,66,15.142
65,E,40,A,90,66,20.614
66,E,40,A,120,66,28.479
67,B,40,B,60,66,34.630
68,B,40,B,90,66,49.508
69,B,40,B,120,66,56.444
70,H,40,AB,60,66,25.078
71,H,40,AB,90,66,37.318
72,H,40,AB,120,66,45.235
73,E,0,A,60,66,10.502
74,E,0,A,90,66,10.502
75,E,0,A,120,66,10.502
76,B,0,B,60,66,10.213
77,B,0,B,90,66,10.213
78,B,0,B,120,66,10.213
79,H,0,AB,60,66,8.849
80,H,0,AB,90,66,8.849
81,H,0,AB,120,66,8.849
82,E,20,A,60,66,12.927
83,E,20,A,90,66,17.087
84,E,20,A,120,66,19.003
85,B,20,B,60,66,30.273
86,B,20,B,90,66,33.485
87,B,20,B,120,66,43.859
88,H,20,AB,60,66,19.104
89,H,20,AB,90,66,29.331
90,H,20,AB,120,66,31.248
91,E,30,A,60,66,13.758
92,E,30,A,90,66,17.450
93,E,30,A,120,66,21.061
94,B,30,B,60,66,28.477
95,B,30,B,90,66,42.227
96,B,30,B,120,66,52.493
97,H,30,AB,60,66,22.889
98,H,30,AB,90,66,34.959
99,H,30,AB,120,66,37.495
100,E,40,A,60,66,15.932
101,E,40,A,90,66,20.822
102,E,40,A,120,66,26.913
103,B,40,B,60,66,31.514
104,B,40,B,90,66,47.605
105,B,40,B,120,66,59.693
106,H,40,AB,60,66,22.483
107,H,40,AB,90,66,40.258
108,H,40,AB,120,66,43.686
109,G,0,AB,50,50,9.497
110,J,40,AB,10,75,14.652
111,J,40,AB,10,75,14.791
112,G,0,AB,10,50,9.497
113,G,30,AB,10,50,14.729
114,D,40,A,10,50,12.446
115,D,30,A,80,50,15.889
116,A,30,B,10,50,20.562
117,D,20,A,80,50,14.325
118,A,20,B,80,50,36.741
119,D,0,A,10,50,8.388
120,G,30,AB,80,50,33.752
121,D,20,A,80,50,16.197
122,J,20,AB,50,75,22.053
123,G,0,AB,50,50,10.032
124,J,30,AB,10,75,12.383
125,D,20,A,10,50,11.041
126,G,40,AB,10,50,17.462
127,G,40,AB,50,50,26.376
128,A,20,B,50,50,29.946
129,G,40,AB,80,50,32.699
130,J,20,AB,50,75,20.154
131,G,0,AB,10,50,10.032
132,G,20,AB,80,50,29.302
133,A,30,B,10,50,21.151
134,J,0,AB,80,75,5.643
135,D,0,A,50,50,8.388
136,A,20,B,50,50,28.192
137,J,30,AB,50,75,22.982
138,A,20,B,80,50,36.679
139,G,40,AB,50,50,26.365
140,D,40,A,80,50,18.309
141,A,20,B,50,50,29.587
142,J,30,AB,80,75,29.882
143,D,30,A,50,50,15.966
144,J,40,AB,10,75,13.824
145,A,0,B,10,50,7.118
146,J,30,AB,80,75,30.826
147,D,40,A,10,50,13.210
148,A,30,B,50,50,29.049
149,D,30,A,80,50,16.283
150,G,0,AB,80,50,9.497
151,D,40,A,50,50,17.681
152,G,20,AB,80,50,25.458
153,G,40,AB,80,50,32.545
154,J,0,AB,80,75,11.072
155,J,30,AB,10,75,12.858
156,G,20,AB,80,50,28.071
157,G,30,AB,50,50,23.650
158,A,0,B,10,50,11.526
159,G,20,AB,50,50,21.270
160,G,0,AB,10,50,8.701
161,J,0,AB,10,75,5.643
162,J,40,AB,80,75,36.264
163,A,40,B,80,50,43.427
164,G,30,AB,80,50,33.624
165,D,20,A,10,50,11.699
166,J,40,AB,50,75,27.595
167,G,0,AB,80,50,10.032
168,A,30,B,80,50,40.094
169,J,40,AB,80,75,29.235
170,D,0,A,80,50,8.388
171,A,30,B,80,50,42.546
172,A,30,B,80,50,43.647
173,D,20,A,50,50,13.670
174,D,20,A,50,50,13.929
175,G,0,AB,80,50,8.701
176,A,40,B,10,50,23.337
177,G,20,AB,50,50,20.810
178,G,40,AB,50,50,24.493
179,A,40,B,80,50,43.300
180,A,20,B,80,50,37.641
181,J,30,AB,50,75,24.436
182,G,30,AB,50,50,23.700
183,D,20,A,50,50,15.239
184,A,40,B,50,50,30.330
185,J,0,AB,10,75,11.072
186,A,30,B,10,50,21.753
187,D,30,A,10,50,11.500
188,D,0,A,50,50,11.075
189,J,0,AB,50,75,5.643
190,A,0,B,80,50,7.118
191,D,0,A,80,50,11.075
192,G,30,AB,10,50,17.270
193,A,0,B,80,50,11.526
194,G,40,AB,10,50,18.267
195,J,20,AB,80,75,22.413
196,D,30,A,50,50,14.948
197,D,40,A,80,50,17.827
198,G,40,AB,80,50,34.329
199,D,40,A,50,50,17.938
200,D,0,A,10,50,11.075
201,D,30,A,10,50,11.075
202,G,30,AB,50,50,25.877
203,J,30,AB,80,75,28.099
204,J,20,AB,10,75,11.738
205,G,30,AB,10,50,16.701
